stationID,site,study_area,Vegetation,camera,Block,SD,Year,xcoord,ycoord,Runtime,start,end,badger,boar,cats,dog,fox,marten,mouseweasel,racoon,stoat,allpredators,allpredators_without_dogs,badger_100,boar_100,cats_100,dog_100,fox_100,marten_100,mouseweasel_100,racoon_100,stoat_100,allpredators_100,allpredators_without_dogs_100,Wood_Dist,Water_Dist,Settl_Dist,Edge_Dist,Road_Dist,Wood_Area_500m,Ext_Area_500m,Arable_Area_500m,Settl_Area_500m,Water_Area_500m,Edge_Area_500m,Road_Density_500m,Border_Length_500m,Hab_Div_500m,Mean_Field_500m,Water_Area_1km,Water_Area_2.5km,Settl_Area_1km,Settl_Area_2.5km,Forest_Area_500m,Forest_Area_1km,Forest_Area_2.5km,Arable_Area_1km,Arable_Area_2.5km,Grass_Area_500m,Grass_Area_1km,Grass_Area_2.5km
D_G6 14 14 1 S19,D_G6,D,G,14,1,14,S19,565181.1589,5699538.482,31531,29/04/2019 13:28,21/05/2019 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.6430034,829.4362547,341.6233604,121.6623,124.9192357,0.231954509,0.845625914,68.59610968,5.808235668,0,2.039431309,1.029561778,7.28107953,0.867996259,52580.22021,0.485226178,22.08767713,56.99921238,183.0826609,0,0.519478485,335.3058022,232.6451945,1159.99907,0.391967823,4.966592754,116.2616415
D_G6 2 19 3 S20,D_G6,D,G,2,3,19,S20,565181.1589,5699538.482,14215,14/06/2020 13:33,24/06/2020 10:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.6430058,829.4362532,341.6233631,121.6623016,124.9192373,0.231954514,0.858789545,68.59140511,5.808235502,0,2.039431319,1.029561753,7.281079543,0.739674666,52575.02572,0.485226179,22.08767711,56.99921212,183.0826611,0,0.519478485,335.3058014,232.6003869,1158.793751,0.392221604,4.910663636,116.9755884
D_H1 40 38 3 S20,D_H1,D,H,40,3,38,S20,567357.5652,5706678.594,32028,14/06/2020 08:28,06/07/2020 14:16,3,14,0,0,5,0,0,5,0,27,27,13.48819783,62.94492319,0,0,22.48032971,0,0,22.48032971,0,121.3937804,121.3937804,0,2110.715735,286.1020982,0,262.8829908,11.818726,15.9998875,34.51146097,16.19746846,0,2.17714966,1.57413691,9.982790378,2.011751913,32785.65507,0,1.71185745,84.56355643,528.9085923,9.173460564,58.39670394,530.8019698,119.3785206,720.9673699,8.98566251,19.14154461,84.07609387
D_H1 40 64 2 S19,D_H1,D,H,40,2,64,S19,567357.5652,5706678.594,31704,22/05/2019 08:41,13/06/2019 09:05,1,0,0,0,1,0,0,0,0,2,2,4.542013626,0,0,0,4.542013626,0,0,0,0,9.084027252,9.084027252,0,2110.715738,286.1020941,0,262.8829878,11.81872583,17.11622677,35.63757941,16.1974686,0,2.177149662,1.574136921,9.98279039,2.100269729,32598.87813,0,1.711857453,84.56355671,528.9085926,9.173460374,58.39670349,530.8019684,119.9544933,723.6589381,8.98566053,19.10393635,84.55920823
D_H10 10 27 3 S20,D_H10,D,H,10,3,27,S20,565920.8223,5702288.794,31389,14/06/2020 14:10,06/07/2020 09:19,1,7,5,1,3,0,0,1,0,18,17,4.58759438,32.11316066,22.9379719,4.58759438,13.76278314,0,0,4.58759438,0,82.57669884,77.98910446,0,256.713279,656.3785654,0,567.6908423,14.88333491,0.533175398,51.00645494,0,6.350681521,1.474561655,0,7.656253744,1.465912301,39459.09106,8.595675643,22.34265275,0.432710855,167.7419848,9.523058809,18.30936896,113.7058543,233.7468391,1338.589705,0.533175398,14.54716958,124.5063685
D_H10 6 27 3 S19,D_H10,D,H,6,3,27,S19,565920.8223,5702288.794,36086,12/06/2019 10:41,07/07/2019 12:07,3,1,0,0,13,2,0,0,0,19,19,11.97140165,3.990467217,0,0,51.87607382,7.980934434,0,0,0,75.81887713,75.81887713,0,256.7132803,656.3785702,0,567.6908461,14.88333469,1.940623366,50.94424438,0,6.350681558,1.474561663,0,7.656253758,1.413059746,38162.88814,8.595675643,22.34265277,0.432710855,167.7419849,9.523058581,18.30936887,113.7058542,233.950171,1343.025569,1.940623366,15.76290823,122.1366162
D_H11 26 35 1 S20,D_H11,D,H,26,1,35,S20,564692.9251,5700583.795,30081,29/04/2020 12:56,20/05/2020 10:17,2,0,0,0,8,0,0,0,0,10,10,9.574149796,0,0,0,38.29659918,0,0,0,0,47.87074898,47.87074898,0,94.16778441,440.8995291,7.264472599,142.5168342,2.27189114,17.13859909,51.68811632,0.183118209,1.903611896,3.893393475,0.670062013,11.81873572,1.589244086,43025.65012,5.062366582,31.64135249,20.09107161,222.8177322,0,0,93.54730548,231.029065,1352.649337,16.54395602,30.16526268,92.12119694
D_H11 27 67.2 2 S19,D_H11,D,H,27,2,67.2,S19,564697.9462,5700582.413,31680,21/05/2019 10:39,12/06/2019 10:39,0,0,0,0,2,0,0,1,0,3,3,0,0,0,0,9.090909091,0,0,4.545454545,0,13.63636364,13.63636364,0,95.99742081,442.0917,2.211683649,137.3769861,2.261895427,16.57681905,52.10841845,0.176545413,1.882898333,3.910165973,0.673879084,11.83829388,1.730595563,41655.23726,5.049792106,31.63196768,19.84903373,222.6411995,0,0,93.66751808,231.8421998,1354.46616,15.81122889,29.61664411,92.45084976
D_H2 1 69 4 S19,D_H2,D,H,1,4,69,S19,567799.034,5706193.828,30312,10/07/2019 09:37,31/07/2019 10:49,2,14,3,0,1,5,0,4,0,29,29,9.501187648,66.50831354,14.25178147,0,4.750593824,23.75296912,0,19.0023753,0,137.7672209,137.7672209,0,1659.502402,763.117328,0,176.5662894,6.0422645,7.273414371,61.44792307,0,0,3.042122711,0.585433934,11.33908254,1.829056255,52335.66058,0,3.685494919,6.371187873,435.351884,0,54.92160297,486.6096549,183.9431555,826.3416136,5.469706962,31.05621918,95.56533579
D_H2 10 40 2 S20,D_H2,D,H,10,2,40,S20,567799.034,5706193.828,30903,23/05/2020 09:10,13/06/2020 20:13,0,3,0,0,3,5,0,0,0,11,11,0,13.97922532,0,0,13.97922532,23.29870886,0,0,0,51.2571595,51.2571595,0,1659.5024,763.1173299,0,176.5662898,6.042264474,7.107454981,61.35184094,0,0,3.042122709,0.585433934,11.33908254,1.0676141,52092.75324,0,3.685494936,6.371187739,435.3518836,0,54.92160316,486.6096551,183.36951,823.3659146,5.501312087,29.93429721,93.95781405
